time	V(vo)
0.000000000000000e+000	2.214189e-001
9.999999439624929e-011	2.214190e-001
1.033936893205702e-010	2.214190e-001
1.101810791692119e-010	2.214190e-001
1.237558588664954e-010	2.214190e-001
1.484846718395440e-010	2.214190e-001
1.930838737049929e-010	2.214190e-001
2.356238887478961e-010	2.214190e-001
3.207039188337025e-010	2.214190e-001
4.908639790053153e-010	2.214190e-001
7.977269669373267e-010	2.214190e-001
1.345323048780967e-009	2.214190e-001
2.232844648228408e-009	2.214190e-001
3.418953151847422e-009	2.214190e-001
5.372336604487316e-009	2.214191e-001
8.722775616118977e-009	2.214194e-001
1.225901160337011e-008	2.214198e-001
1.869084176358067e-008	2.214207e-001
3.009129667771727e-008	2.214225e-001
4.507975054965846e-008	2.214254e-001
7.499234936757305e-008	2.214328e-001
1.189717891293362e-007	2.214463e-001
1.601642423874577e-007	2.214614e-001
2.063655220283249e-007	2.214808e-001
2.512030378766300e-007	2.215015e-001
3.023480126344397e-007	2.215267e-001
3.580678982793343e-007	2.215557e-001
4.280040504616837e-007	2.215933e-001
5.192227083341984e-007	2.216435e-001
6.154843516568484e-007	2.216969e-001
7.120850421391368e-007	2.217503e-001
8.267163410427847e-007	2.218125e-001
9.450966927067087e-007	2.218746e-001
1.116877206820844e-006	2.219594e-001
1.389982956559267e-006	2.220820e-001
1.690185327116670e-006	2.221983e-001
2.071671939455576e-006	2.223142e-001
2.834645164133387e-006	2.224822e-001
3.693191805382499e-006	2.226252e-001
5.282030055211428e-006	2.228772e-001
6.781169434824562e-006	2.231490e-001
9.764026738982073e-006	2.237129e-001
1.315286897481399e-005	2.243064e-001
1.768942811812985e-005	2.250367e-001
2.415095872057332e-005	2.259817e-001
3.415095872057332e-005	2.272623e-001
4.415095872057332e-005	2.283581e-001
5.415095872057332e-005	2.292788e-001
6.415095872057332e-005	2.300522e-001
7.415095872057332e-005	2.307017e-001
8.415095872057332e-005	2.312470e-001
9.415095872057332e-005	2.317050e-001
1.041509587205733e-004	2.320892e-001
1.141509587205733e-004	2.324119e-001
1.241509587205733e-004	2.326826e-001
1.341509587205733e-004	2.329099e-001
1.441509587205733e-004	2.331005e-001
1.541509587205733e-004	2.332605e-001
1.641509587205733e-004	2.333948e-001
1.741509587205733e-004	2.335074e-001
1.841509587205733e-004	2.336019e-001
1.941509587205733e-004	2.336812e-001
2.041509587205733e-004	2.337478e-001
2.141509587205733e-004	2.338036e-001
2.241509587205733e-004	2.338504e-001
2.341509587205733e-004	2.338897e-001
2.441509587205733e-004	2.339227e-001
2.541509587205733e-004	2.339503e-001
2.641509587205734e-004	2.339735e-001
2.741509587205734e-004	2.339930e-001
2.841509587205734e-004	2.340093e-001
2.941509587205734e-004	2.340230e-001
3.041509587205735e-004	2.340345e-001
3.141509587205735e-004	2.340441e-001
3.241509587205735e-004	2.340522e-001
3.341509587205735e-004	2.340590e-001
3.441509587205736e-004	2.340647e-001
3.541509587205736e-004	2.340695e-001
3.641509587205736e-004	2.340735e-001
3.741509587205737e-004	2.340768e-001
3.841509587205737e-004	2.340796e-001
3.941509587205737e-004	2.340820e-001
4.041509587205737e-004	2.340840e-001
4.141509587205738e-004	2.340856e-001
4.241509587205738e-004	2.340870e-001
4.341509587205738e-004	2.340882e-001
4.441509587205738e-004	2.340892e-001
4.541509587205739e-004	2.340900e-001
4.641509587205739e-004	2.340907e-001
4.741509587205739e-004	2.340913e-001
4.941509587205739e-004	2.340922e-001
5.141509587205740e-004	2.340928e-001
5.341509587205740e-004	2.340933e-001
5.641509587205741e-004	2.340937e-001
5.941509587205742e-004	2.340939e-001
6.198652444348600e-004	2.340941e-001
6.455795301491458e-004	2.340941e-001
6.712938158634315e-004	2.340942e-001
6.970081015777173e-004	2.340943e-001
7.227223872920031e-004	2.340943e-001
7.484366730062889e-004	2.340943e-001
7.741509587205746e-004	2.340943e-001
9.900000000010001e-004	2.340943e-001
1.000000000001000e-003	2.338673e-001
1.003113750362644e-003	2.334279e-001
1.004595996344052e-003	2.330289e-001
